date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:03	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:04%20GMT	https://kaamastra.co.in/robots.txt		(from )
15:13:04	31837/31837	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2009:43:04%20GMT	https://kaamastra.co.in/	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/index.html	(from )
15:13:04	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/https___kaamastra.co.in_/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://kaamastra.co.in/)
15:13:05	19778/19778	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf2-4d42%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.6/css/swiper.min.css	C:/My%20Web%20Sites/https___kaamastra.co.in_/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.6/css/swiper.min.css	(from https://kaamastra.co.in/)
15:13:05	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5b0327dbdd700-gzip%22	https://kaamastra.co.in/css/magnific-popup.css	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/css/magnific-popup.css	(from https://kaamastra.co.in/)
15:13:05	42131/42131	---M-Z	200	added ('OK')	text/css	etag:%22a493-5dfa894975a00-gzip%22	https://kaamastra.co.in/css/styles.css	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/css/styles.css	(from https://kaamastra.co.in/)
15:13:06	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/https___kaamastra.co.in_/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://kaamastra.co.in/)
15:13:06	94061/94061	---M--	200	added ('OK')	image/gif	etag:%2216f6d-5b03282828b00%22	https://kaamastra.co.in/images/unnamed.gif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/unnamed.gif	(from https://kaamastra.co.in/)
15:13:07	172935/172935	---M--	200	added ('OK')	image/jpeg	etag:%222a387-5b032818e6700%22	https://kaamastra.co.in/images/Tengenix-ingr.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/Tengenix-ingr.jpg	(from https://kaamastra.co.in/)
15:13:07	58654/58654	---M--	200	added ('OK')	image/jpeg	etag:%22e51e-5b0327ed07f80%22	https://kaamastra.co.in/images/banner.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/banner.jpg	(from https://kaamastra.co.in/)
15:13:07	42090/42090	---M--	200	added ('OK')	image/png	etag:%22a46a-5e3d4bf15c480%22	https://kaamastra.co.in/images/product.png	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/product.png	(from https://kaamastra.co.in/)
15:13:07	46653/46653	---M--	200	added ('OK')	image/png	etag:%22b63d-5e3d4c76dff80%22	https://kaamastra.co.in/images/productx2.png	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/productx2.png	(from https://kaamastra.co.in/)
15:13:08	70326/70326	---M--	200	added ('OK')	text/html	etag:%22112b6-5b0327f879a80%22	https://kaamastra.co.in/images/index.jfif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/index.html	(from https://kaamastra.co.in/)
15:13:08	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:09%20GMT	https://kaamastra.co.in/images/01.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/01.jpg	(from https://kaamastra.co.in/)
15:13:09	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:10%20GMT	https://kaamastra.co.in/images/02.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/02.jpg	(from https://kaamastra.co.in/)
15:13:10	775480/775480	---M--	200	added ('OK')	image/gif	etag:%22bd538-5b0327e37e900%22	https://kaamastra.co.in/images/01.gif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/01.gif	(from https://kaamastra.co.in/)
15:13:10	481393/481393	---M--	200	added ('OK')	image/gif	etag:%2275871-5b0327e37e900%22	https://kaamastra.co.in/images/02.gif	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/02.gif	(from https://kaamastra.co.in/)
15:13:10	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Nov%202023%2009:43:11%20GMT	https://kaamastra.co.in/images/03.jpg	C:/My%20Web%20Sites/https___kaamastra.co.in_/kaamastra.co.in/images/03.f.delayed	(from https://kaamastra.co.in/)
